Complaint Date,Model_masked,predicted_p10,predicted_complaints,predicted_p90
2026-02-28,KC2,1,2,5
2026-02-28,KC3,1,3,5
2026-02-28,KC4,2,3,5
2026-02-28,KC42,1,2,3
2026-02-28,KC51,1,2,3
2026-02-28,KC6,2,4,5
2026-02-28,KC63,1,1,2
2026-02-28,KC72,1,3,3
2026-02-28,KC9,1,1,1
2026-02-28,KC93,1,2,2
2026-02-28,KCX1,1,1,2
2026-02-28,KCX12,1,2,5
2026-02-28,KCX2,3,3,5
2026-02-28,KCX21,1,2,2
2026-02-28,KCX3,3,6,7
2026-02-28,KCX31,1,2,2
2026-02-28,KCX4,4,5,9
2026-02-28,KCX42,1,2,4
2026-02-28,KCX51,1,1,2
2026-02-28,KCX6,3,4,7
2026-02-28,KCX63,1,2,4
2026-02-28,KCX72,4,4,6
2026-02-28,KCX84,1,1,2
2026-02-28,KCX9,1,2,2
2026-02-28,KCX93,2,3,6
2026-02-28,PC2,2,2,4
2026-02-28,PCX2,1,2,3
2026-03-31,KC2,1,3,4
2026-03-31,KC3,1,3,9
2026-03-31,KC4,2,4,7
2026-03-31,KC42,1,2,4
2026-03-31,KC51,1,3,6
2026-03-31,KC6,2,5,8
2026-03-31,KC63,1,2,3
2026-03-31,KC72,1,3,4
2026-03-31,KC9,1,1,2
2026-03-31,KC93,1,2,3
2026-03-31,KCX1,1,1,3
2026-03-31,KCX12,1,2,5
2026-03-31,KCX2,3,5,7
2026-03-31,KCX21,1,2,3
2026-03-31,KCX3,4,7,11
2026-03-31,KCX31,1,2,3
2026-03-31,KCX4,4,6,10
2026-03-31,KCX42,1,3,5
2026-03-31,KCX51,1,1,2
2026-03-31,KCX6,4,6,10
2026-03-31,KCX63,1,2,5
2026-03-31,KCX72,4,6,7
2026-03-31,KCX84,1,2,3
2026-03-31,KCX9,1,2,3
2026-03-31,KCX93,2,3,6
2026-03-31,PC2,1,2,2
2026-03-31,PCX2,1,3,3
2026-04-30,KC2,1,3,5
2026-04-30,KC3,1,2,6
2026-04-30,KC4,2,4,6
2026-04-30,KC42,1,2,4
2026-04-30,KC51,1,3,6
2026-04-30,KC6,2,5,7
2026-04-30,KC63,1,2,3
2026-04-30,KC72,1,3,5
2026-04-30,KC9,1,1,2
2026-04-30,KC93,1,2,4
2026-04-30,KCX1,1,1,3
2026-04-30,KCX12,1,2,5
2026-04-30,KCX2,3,4,6
2026-04-30,KCX21,1,3,4
2026-04-30,KCX3,4,6,10
2026-04-30,KCX31,1,2,3
2026-04-30,KCX4,3,4,7
2026-04-30,KCX42,1,2,5
2026-04-30,KCX51,1,2,3
2026-04-30,KCX6,4,6,10
2026-04-30,KCX63,1,2,5
2026-04-30,KCX72,3,4,7
2026-04-30,KCX84,1,2,2
2026-04-30,KCX9,1,2,3
2026-04-30,KCX93,2,3,6
2026-04-30,PC2,1,2,3
2026-04-30,PCX2,1,3,3
